Iteration,episode_reward_mean,episode_len_mean
0,218.42738534470797,300.0
1,328.9167664093416,300.0
2,790.7517761960851,300.0
3,1117.716417802618,300.0
4,1493.8252652707909,291.0
5,1879.4732826244208,263.04545454545456
6,2171.8129138307672,248.67857142857142
7,2451.446020771444,220.75
8,2664.4209844269367,198.62222222222223
9,2815.52079303522,181.38181818181818
10,2907.2864043637915,167.83076923076922
11,2970.4401081047768,159.12
12,3010.652469403192,151.45882352941177
13,3057.45089866463,147.01052631578946
14,3248.7826889400726,131.8
15,3371.2903376235645,114.54
16,3397.2678816721927,104.98
17,3388.955251398397,102.16
18,3376.656562424974,100.34
19,3357.713850499443,99.85
20,3343.051154764326,98.77
21,3379.429420930102,98.58
22,3411.8884939606633,98.69
23,3402.222395686373,96.72
24,3394.775726853626,95.13
25,3417.6244668619497,94.2
26,3428.9883540513374,92.88
27,3456.5827136695634,94.17
28,3435.3875389485793,91.77
29,3463.1535958059953,91.03
30,3477.607817504837,92.17
31,3474.299462223253,90.8
32,3495.6090387272357,90.84
33,3536.8224627891154,91.99
34,3533.268708829546,90.94
35,3538.748776055051,90.0
36,3560.336983598952,90.09
37,3602.825004197572,91.27
38,3619.380490673903,92.1
39,3584.464183524341,90.39
40,3571.871982672649,92.07
41,3562.1362771286517,92.7
42,3517.629338349617,92.42
43,3521.43617382154,92.67
44,3506.710554659671,92.37
45,3468.96825800164,90.35
46,3454.281941638837,89.85
47,3424.073091353733,89.61
48,3423.343776241521,90.68
49,3441.7777743545676,89.25
