Iteration,episode_reward_mean,episode_len_mean
0,-273.2765801159125,300.0
1,-331.08353240268485,300.0
2,292.2735680066982,300.0
3,836.9035275981042,292.38461538461536
4,1374.588654365919,288.47058823529414
5,1587.4740983019396,286.8
6,1931.3482637680559,263.38461538461536
7,2349.928550635575,233.1764705882353
8,2627.2064634879043,207.67441860465115
9,2775.8366988302055,190.51923076923077
10,2907.0822911286605,170.84375
11,2977.444260689499,157.81578947368422
12,3019.052733682522,147.72727272727272
13,3074.811867447722,142.09183673469389
14,3367.3257590412272,125.2
15,3474.5346437351177,110.26
16,3497.3601068954526,95.66
17,3461.906149189233,92.33
18,3442.7949144953627,90.34
19,3455.0612446999216,91.61
20,3454.1246292262604,91.39
21,3463.3973857984656,90.52
22,3450.0107431849337,90.3
23,3393.5146630262316,88.17
24,3361.5925817572347,86.78
25,3386.118331596271,88.05
26,3381.5016369178716,87.2
27,3373.3271403747285,88.48
28,3347.757359467798,88.7
29,3352.899767370485,89.39
30,3363.835815667802,90.87
31,3377.3695392994587,92.09
32,3395.072202837356,92.61
33,3440.465545863959,91.11
34,3425.060815765551,90.71
35,3432.469556311169,90.47
36,3427.995470279867,87.64
37,3409.1885734172815,86.22
38,3421.1965011027623,84.43
39,3418.5302796196283,84.25
40,3439.525308820279,86.83
41,3446.8507655878198,86.17
42,3451.6637626345414,86.19
43,3468.977492791249,85.4
44,3457.1079740045457,85.76
45,3517.5676172197795,88.05
46,3533.723109058492,86.82
47,3558.524038110032,87.56
48,3530.1799170268614,86.8
49,3519.657478982113,85.16
50,3508.749537149309,85.73
51,3529.568050030644,85.51
52,3525.1758979618585,84.69
53,3520.0744802644494,83.89
54,3523.8000648525294,85.01
55,3536.363280518184,85.54
56,3516.8266955830045,83.63
57,3517.495531055113,84.62
58,3519.6968241254776,83.91
59,3511.9108825703534,84.09
60,3500.8077258264716,85.47
61,3491.552070098353,84.72
62,3473.800209108535,86.44
63,3449.000220558604,86.3
64,3455.7350972312024,85.3
65,3451.4411125087818,83.7
66,3431.6149607796124,83.32
67,3412.176577219719,83.45
68,3410.042161053656,81.91
69,3414.507793528629,82.32
70,3428.6120705784538,80.2
71,3450.76126009063,79.21
72,3452.8494686659546,80.35
73,3456.7031180497165,80.97
74,3463.4884318618715,79.6
75,3490.1482713250166,79.23
76,3472.0744592790925,80.02
77,3434.3278451165224,79.68
78,3442.4511702142463,79.12
79,3444.0905064862077,79.73
80,3444.780349910811,79.51
81,3470.735586967816,81.29
82,3461.6884739061084,81.81
83,3483.477497228245,84.38
84,3507.706909451206,84.99
85,3523.9089677332445,85.07
86,3555.8417066414418,86.96
87,3544.6349500852175,87.7
88,3550.070684765128,88.66
89,3543.2140981615084,87.87
90,3565.6282061527227,87.93
91,3529.350506630805,88.32
92,3511.8848214538484,88.87
93,3517.015656754963,89.7
94,3523.2992936101973,90.49
95,3523.0936335954425,90.8
96,3518.86478720797,91.27
97,3512.0768073498534,90.71
98,3498.5302709747148,90.21
99,3505.209716854147,91.99
