Iteration,episode_reward_mean,episode_len_mean
0,-314.4283583427418,300.0
1,23.49993975535195,300.0
2,551.9774421584385,300.0
3,1000.8778050305826,300.0
4,1193.6805991382694,300.0
5,1486.5759376954543,298.6
6,1680.573125345394,298.7826086956522
7,2016.435875721087,284.5357142857143
8,2218.4721191998397,278.3125
9,2422.043306672466,261.94736842105266
10,2570.2590451392007,249.0909090909091
11,2702.3346613513804,234.62745098039215
12,2818.102643778591,222.91379310344828
13,2891.5392132351535,218.171875
14,2943.5202986175127,214.40579710144928
15,2998.597880154595,210.06578947368422
16,3028.3097683371134,202.08333333333334
17,3078.907421957006,194.83695652173913
18,3261.7784338340316,180.96
19,3425.678427182991,169.35
20,3529.5163920184564,155.54
21,3559.591561266114,143.0
22,3538.80041848937,134.69
23,3559.5175457443547,131.51
24,3540.4420723579847,128.63
25,3544.312851831276,122.85
26,3525.9464235732576,116.81
27,3569.679748660241,114.03
28,3568.9509573775936,110.79
29,3525.4009040292403,110.64
30,3532.6370150537923,108.67
31,3510.163586719758,107.92
32,3482.5608116088197,106.0
33,3483.938195250155,102.71
34,3469.3422677807225,99.72
35,3457.3092367876634,99.41
36,3447.360052111332,98.03
37,3417.9808449515376,98.25
38,3398.434583958646,96.78
39,3398.4219110842246,94.11
40,3390.626012036321,91.25
41,3430.134685164562,91.19
42,3408.518981783795,89.92
43,3440.385007887421,90.37
44,3470.0842499244463,90.48
45,3459.9233269094334,89.21
46,3469.9288872046977,88.84
47,3471.049443762404,90.19
48,3468.5982614332247,90.54
49,3470.3721071342334,92.96
