Iteration,episode_reward_mean,episode_len_mean
0,-266.61953729169574,300.0
1,-222.61209547548683,300.0
2,227.17989228324524,300.0
3,584.8436750284126,300.0
4,1011.4666609654427,300.0
5,1591.1006264148905,281.2857142857143
6,1929.8611371451111,259.3076923076923
7,2323.239437489223,227.9142857142857
8,2549.9228412283633,203.54545454545453
9,2752.1068097760435,187.47169811320754
10,2888.231376095544,168.63076923076923
11,2990.0249149719025,155.4805194805195
12,3048.9335534608053,145.93258426966293
13,3097.0124696090033,140.88888888888889
14,3433.017767773872,116.53
15,3478.893825048528,99.36
16,3460.9145726228385,91.71
17,3504.008253911579,89.19
18,3497.5311540762923,86.83
19,3487.34705816891,88.48
20,3461.8214806685933,87.65
21,3460.650297952731,87.13
22,3449.639157299271,85.74
23,3399.915241563794,83.48
24,3406.0749715700954,82.91
25,3412.0187965305313,85.25
26,3396.2423117890803,86.45
27,3363.5111926248037,85.75
28,3362.1633709195344,86.34
29,3331.187248682857,87.78
30,3333.1047802634803,87.81
31,3341.1970265472114,87.96
32,3387.0969229624607,89.39
33,3371.0578995581704,87.48
34,3333.217470368092,85.09
35,3347.272362460807,86.2
36,3360.9806190516647,85.94
37,3414.42287596795,87.2
38,3450.519655649837,85.69
39,3426.020954575698,88.51
40,3426.9587898519217,87.65
41,3426.7309694000633,88.06
42,3460.9590134608825,89.48
43,3483.021791026767,90.03
44,3459.7495918830473,89.07
45,3388.93949866297,85.16
46,3399.846191262408,83.34
47,3397.9586125406377,81.78
48,3424.0861293139706,81.78
49,3421.509797028073,81.3
