Iteration,episode_reward_mean,episode_len_mean
0,-273.2765801159125,300.0
1,-276.54900494380126,300.0
2,715.3529509005708,300.0
3,1233.3549003543753,287.6923076923077
4,1613.6375856901843,285.47058823529414
5,2070.603913180477,259.0
6,2378.548247684242,232.0
7,2562.901664913984,204.66666666666666
8,2702.896181394153,186.0
9,2849.4076520085914,173.78947368421052
10,2956.1194013344275,163.40298507462686
11,3012.511841098798,152.33333333333334
12,3080.1601378588607,145.08988764044943
13,3138.750778269121,139.52
14,3420.1197524751665,116.32
15,3452.703806905161,103.29
16,3440.2435176372865,97.24
17,3445.6444063704384,94.47
18,3446.8751617961743,94.72
19,3442.9009844439015,93.22
20,3419.6063823132986,91.03
21,3402.446864479677,91.24
22,3375.9279251524376,90.02
23,3392.528610629288,91.69
24,3362.2604269187727,89.8
25,3389.284500094624,89.29
26,3391.374262677916,87.15
27,3412.9037306169853,87.02
28,3437.5687174513487,89.27
29,3426.94793209496,90.78
30,3429.6930121577634,91.44
31,3440.3880489882977,92.72
32,3453.707389789145,90.67
33,3464.6199362749885,89.67
34,3501.3805175896496,89.87
35,3503.5387413019757,90.91
36,3530.159375784289,93.27
37,3484.1931548845787,90.49
38,3514.2242156189163,90.47
39,3502.9096455682884,88.36
40,3519.4264815534975,89.9
41,3500.38291329863,90.05
42,3512.3271682417067,90.28
43,3492.2835396540863,92.37
44,3499.710905263307,91.72
45,3487.984069966195,89.03
46,3488.155419586649,90.18
47,3482.4102520958786,90.54
48,3507.7742407258197,90.73
49,3502.711536968234,89.66
