Iteration,episode_reward_mean,episode_len_mean
0,-745.1458512812916,300.0
1,-262.40976824272735,300.0
2,99.76389023537436,300.0
3,494.8195155334582,300.0
4,771.7112976357466,300.0
5,1177.371540982829,294.5
6,1536.5452056308682,275.84
7,1712.5110670197093,268.0344827586207
8,1925.127841254631,256.9714285714286
9,2139.0685185810544,239.6829268292683
10,2315.8635611030895,229.08510638297872
11,2507.6201733489697,220.96296296296296
12,2633.9609803211865,211.04918032786884
13,2755.226658000729,204.6764705882353
14,2806.0840351926736,196.93421052631578
15,2871.2401203429877,195.09756097560975
16,2919.9532319649898,190.98863636363637
17,2973.829982775817,185.36082474226805
18,3224.769314347419,170.93
19,3406.0670906989967,155.53
20,3485.6098351366604,147.09
21,3510.734578815298,145.24
22,3568.673376306022,137.55
23,3570.2222787038068,133.29
24,3530.06608936395,127.31
25,3510.292740918049,124.84
26,3500.4998986106716,120.03
27,3477.492385014688,112.42
28,3461.7090464141515,109.15
29,3460.734825180141,109.73
30,3448.517909622729,108.57
31,3481.2567864691705,103.21
32,3432.788495363777,100.29
33,3451.4321581931854,95.76
34,3456.750726472639,94.52
35,3477.5973395484343,93.79
36,3466.344076795953,94.09
37,3521.5579306773743,96.81
38,3501.38594901636,94.52
39,3489.972751285485,93.36
40,3484.4026991660653,93.66
41,3521.8240781465515,91.84
42,3508.2912593476563,94.53
43,3517.156498219888,97.74
44,3506.3018767725316,97.54
45,3486.73015402506,95.59
46,3480.918757114164,94.38
47,3486.346505400706,95.26
48,3500.354293089771,95.02
49,3520.2243876082293,94.52
