Iteration,episode_reward_mean,episode_len_mean
0,,
1,,
2,256.0414687539277,300.0
3,256.0414687539277,300.0
4,256.0414687539277,300.0
5,720.7244673975267,300.0
6,720.7244673975267,300.0
7,720.7244673975267,300.0
8,1101.158788882554,300.0
9,1101.158788882554,300.0
10,1101.158788882554,300.0
11,1394.779339733769,298.8875
12,1394.779339733769,298.8875
13,1432.557347919465,296.6341463414634
14,1677.1693973310623,296.29
15,1710.5604576786814,294.87
16,1876.9081984709471,291.26
17,2222.5660568157523,289.4
18,2254.9037924926624,288.24
19,2560.8456909368256,278.81
20,2691.9171143847216,273.49
21,2832.6135747926082,263.31
22,2981.195026310678,256.74
23,3105.8564990852797,245.45
24,3162.6360510622967,234.74
25,3204.1558705220705,224.29
26,3267.223374442205,210.92
27,3314.7613326789437,194.93
28,3294.50477088617,184.75
29,3282.809375361683,178.56
30,3254.420793477782,166.57
31,3294.7162047684265,157.99
32,3335.0097836758396,149.64
33,3307.0867080159364,143.29
34,3343.7284677046646,142.4
35,3353.8597599962413,137.57
36,3375.664377486472,134.77
37,3389.318311539215,134.67
38,3370.728528730735,132.04
39,3364.91908237122,127.39
40,3336.4661285378284,121.58
41,3361.113050741456,117.55
42,3345.8155912645334,115.12
43,3303.414907788662,114.99
44,3282.736393161515,115.49
45,3278.562919410311,118.73
46,3279.386569918549,118.0
47,3278.305790497174,121.36
48,3269.533435880434,114.17
49,3267.8552041589683,113.91
50,3256.7009674572687,111.23
51,3246.5674681621795,109.09
52,3293.052585654732,107.86
53,3296.8647213722816,106.23
54,3329.8359785140547,106.99
55,3308.334355165282,107.96
56,3311.574708307311,108.09
57,3301.4748825097854,107.49
58,3328.477713671418,107.3
59,3317.965315784737,106.19
60,3336.2000774297353,101.73
61,3333.949500175596,102.71
62,3362.6781422083545,103.53
63,3344.8876083127107,103.6
64,3324.1323487178597,106.23
65,3364.553206745494,106.38
66,3417.7932930798866,104.3
67,3384.855439525118,103.79
68,3388.0770133776637,106.31
69,3342.899696447444,105.38
70,3298.401994557831,103.27
71,3305.296462894151,103.59
72,3348.526289692107,104.12
73,3336.8007136728656,96.76
74,3354.7667028015503,101.41
75,3392.2068267269515,103.87
76,3432.669626533052,105.55
77,3369.9648251270196,101.5
78,3354.45696870739,103.63
79,3362.652348527317,104.68
80,3308.171246643182,99.77
81,3270.0299613034235,98.33
82,3305.7795771971746,101.18
83,3343.407299816549,100.21
84,3343.238246364217,98.5
85,3361.9918530665523,97.13
86,3357.8037469032506,95.29
87,3362.377652876408,95.07
88,3397.75196049418,97.43
89,3404.1250411639908,95.56
90,3429.4414669312378,98.81
91,3402.289195747372,97.5
92,3371.3184092341808,94.12
93,3379.6837314423783,91.47
94,3357.2513715494756,93.9
95,3350.7034548210154,93.55
96,3366.34584500139,96.92
97,3369.0397997630325,98.12
98,3372.3607040955358,99.18
99,3351.2242896004796,98.44
